tag,qp,kbps,psnr_y,psnr_u,psnr_v
base28,110,44.399271,49.020569,49.261800,45.277398
base28,160,34.064854,43.099839,44.863399,35.548770
base28,210,25.531714,36.696831,38.443511,27.138906
p28_k8,110,44.410099,48.974004,49.489157,45.290652
p28_k8,160,33.940901,43.285955,44.918088,35.444642
p28_k8,210,25.492768,36.808511,38.364575,27.103774
p28_k12,110,44.413426,48.961066,49.239372,45.271110
p28_k12,160,34.076408,42.874619,44.960461,35.541442
p28_k12,210,25.417266,36.623299,38.057706,27.024582
p29_m4,110,44.347644,48.974817,49.278759,45.227849
p29_m4,160,34.044772,43.047177,44.940153,35.533340
p29_m4,210,25.479975,36.831660,38.033397,27.087333
p29_m8,110,44.457198,48.909509,49.220082,45.304483
p29_m8,160,34.102698,43.229794,44.966624,35.595296
p29_m8,210,25.397724,37.152752,38.313457,27.019802
SWEEP_DONE
