tag,qp,user_s,bytes,bitrate_kbps,psnr_y,psnr_u,psnr_v
base,85,89.676,79084,4745.040000,50.235805,52.218241,51.673154
i01,85,80.812,79621,4777.260000,50.230856,52.331326,51.945458
i02,85,93.050,79084,4745.040000,50.235805,52.218241,51.673154
i03,85,92.070,79084,4745.040000,50.235805,52.218241,51.673154
i04,85,90.629,79316,4758.960000,50.214238,52.259717,51.735555
i05,85,91.040,79084,4745.040000,50.235805,52.218241,51.673154
i06,85,72.574,80201,4812.060000,50.214317,52.476619,51.917906
i07,85,90.075,79270,4756.200000,50.238536,52.239637,51.632864
i08,85,91.125,79099,4745.940000,50.242646,52.218198,51.676659
i09,85,83.261,79004,4740.240000,50.300497,52.214905,51.691749
i10,85,91.990,79084,4745.040000,50.235805,52.218241,51.673154
base,110,92.764,56509,3390.540000,44.351959,48.279371,48.499078
i01,110,80.914,56361,3381.660000,44.407218,48.113172,48.444975
i02,110,86.515,56509,3390.540000,44.351959,48.279371,48.499078
i03,110,84.882,56509,3390.540000,44.351959,48.279371,48.499078
i04,110,86.508,56522,3391.320000,44.388541,48.231316,48.485043
i05,110,85.200,56509,3390.540000,44.351959,48.279371,48.499078
i06,110,75.784,56498,3389.880000,44.297976,48.467403,48.450999
i07,110,84.761,56585,3395.100000,44.379344,48.399851,48.539856
i08,110,93.695,56522,3391.320000,44.372576,48.266577,48.505810
i09,110,86.017,56764,3405.840000,44.265405,48.469303,48.652085
i10,110,96.234,56516,3390.960000,44.461338,48.241447,48.448835
base,145,100.047,31647,1898.820000,36.556004,44.137820,45.658897
i01,145,89.419,31210,1872.600000,36.548456,44.277501,45.750100
i02,145,101.149,31647,1898.820000,36.556004,44.137820,45.658897
i03,145,99.039,31647,1898.820000,36.556004,44.137820,45.658897
i04,145,97.814,31475,1888.500000,36.640526,44.216655,45.671531
i05,145,104.101,31647,1898.820000,36.556004,44.137820,45.658897
i06,145,87.280,31471,1888.260000,36.496589,43.961759,45.626407
i07,145,98.908,31442,1886.520000,36.523748,44.240353,45.821123
i08,145,97.923,31605,1896.300000,36.502494,44.114615,45.811530
i09,145,93.400,31462,1887.720000,36.549383,44.072636,45.602739
i10,145,101.520,31647,1898.820000,36.556004,44.137820,45.658897
base,175,99.014,15770,946.200000,31.140741,41.108768,42.723989
i01,175,86.844,15840,950.400000,31.289822,40.890963,43.044784
i02,175,98.858,15770,946.200000,31.140741,41.108768,42.723989
i03,175,98.190,15770,946.200000,31.140741,41.108768,42.723989
i04,175,105.819,15914,954.840000,31.171529,41.149586,43.170621
i05,175,102.658,15770,946.200000,31.140741,41.108768,42.723989
i06,175,81.536,15621,937.260000,31.183690,41.067864,42.835678
i07,175,97.902,15808,948.480000,31.168111,41.028977,42.844217
i08,175,98.913,15785,947.100000,31.161038,41.054867,42.717557
i09,175,91.128,15856,951.360000,31.217068,41.147091,42.798551
i10,175,99.231,15770,946.200000,31.140741,41.108768,42.723989
DONE
