round,tag,user_s
1,base,87.805
1,i01,80.906
1,i02,85.924
1,i03,85.866
1,i04,92.758
1,i05,89.569
1,i06,72.924
1,i07,85.187
1,i08,84.882
1,i09,80.521
1,i10,86.181
2,base,86.435
2,i01,85.668
2,i02,90.803
2,i03,85.990
2,i04,85.436
2,i05,86.378
2,i06,72.915
2,i07,85.212
2,i08,87.008
2,i09,81.898
2,i10,90.097
3,base,91.244
3,i01,81.107
3,i02,87.713
3,i03,85.843
3,i04,86.940
3,i05,86.222
3,i06,72.151
3,i07,86.883
3,i08,89.716
3,i09,80.444
3,i10,84.989
4,base,86.720
4,i01,81.745
4,i02,85.790
4,i03,93.009
4,i04,89.890
4,i05,89.108
4,i06,73.958
4,i07,86.332
4,i08,86.942
4,i09,85.174
4,i10,85.942
5,base,90.024
5,i01,84.168
5,i02,86.108
5,i03,86.045
5,i04,84.811
5,i05,85.627
5,i06,74.036
5,i07,84.703
5,i08,85.372
5,i09,79.772
5,i10,85.662
DONE
